,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,United Nations,,,,,,,
,,,,Population Division,,,,,,,
,,,,Department of Economic and Social Affairs,,,,,,,
,,,,,,,,,,,
,,,,Workbook: UN_MigrantStock_2017.xls,,,,,,,
,,,,"Table 4 - Female migrants as a percentage of the international migrant stock by major area, region, country or area, 1990-2017",,,,,,,
,,,,,,,,,,,
,,,,December 2017 - Copyright © 2017 by United Nations. All rights reserved,,,,,,,
,,,,"Suggested citation: United Nations, Department of Economic and Social Affairs. Population Division (2017). Trends in International Migrant Stock: The 2017 revision (United Nations database, POP/DB/MIG/Stock/Rev.2017).",,,,,,,
,,,,,,,,,,,
"Sort
order","Major area, region, country or area of destination",Notes,Code,Type of data (a),Female migrants as a percentage of the international migrant stock,,,,,,
,,,,,1990,1995,2000,2005,2010,2015,2017
115,Azerbaijan,9,31,B R,56.2,56.5,56.9,55.2,53.2,52.1,52.1
116,Bahrain,,48,C,29.1,30.0,30.9,28.6,27.7,27.7,27.7
117,Cyprus,10,196,B,53.3,55.4,56.6,57.0,56.2,56.2,56.2
118,Georgia,11,268,B,56.2,56.2,56.2,56.2,56.2,56.2,56.2
119,Iraq,,368,C R,33.3,42.4,42.8,39.1,37.8,41.8,41.8
120,Israel,,376,B R,52.8,53.7,53.9,54.1,54.4,54.6,54.6
121,Jordan,,400,C R,48.8,48.9,49.0,49.1,49.2,49.6,49.6
122,Kuwait,,414,C R,39.0,35.8,32.5,31.1,30.0,34.1,32.0
123,Lebanon,,422,B R,48.8,48.9,49.0,48.4,47.9,51.9,51.9
124,Oman,,512,C,20.2,22.6,21.7,20.8,19.3,17.3,16.0
125,Qatar,,634,C,27.1,25.4,23.8,22.8,17.2,16.1,16.1
126,Saudi Arabia,,682,C R,33.5,33.3,33.2,31.3,29.6,30.7,31.5
127,State of Palestine,12,275,B,54.2,54.5,54.7,55.1,55.6,55.7,55.7
128,Syrian Arab Republic,,760,C R,49.0,49.1,48.7,48.7,48.9,48.9,48.9
129,Turkey,,792,B R,50.4,51.2,51.9,53.1,54.2,53.0,53.0
130,United Arab Emirates,,784,C R,28.7,28.2,28.2,27.2,25.3,25.3,25.3
131,Yemen,,887,CR,43.6,43.0,44.5,42.5,45.9,47.5,47.5
132,EUROPE,,908,,51.3,51.5,51.6,51.6,51.8,52.1,52.0
133,Eastern Europe,,923,,53.6,53.0,52.5,52.6,52.7,52.7,52.6
134,Belarus,,112,B,54.2,54.2,54.2,54.2,54.2,54.2,54.2
135,Bulgaria,,100,B,57.9,57.9,57.9,56.5,55.6,55.6,55.6
136,Czechia,,203,C,48.0,46.7,46.0,43.7,40.7,42.6,42.6
137,Hungary,,348,B R,55.1,54.3,53.5,52.5,51.9,50.4,50.0
138,Poland,,616,B,57.2,58.1,59.0,58.9,59.2,58.1,57.2
139,Republic of Moldova,13,498,B,56.0,56.0,56.0,56.0,61.6,64.6,64.6
